geneSymbol	HGNCID
BRAP	HGNC:21114
TAJ	HGNC:11915
betaTrCP	HGNC:1144
MLSN1	HGNC:7146
MTIV	HGNC:18705
OR7E63	HGNC:8438
CD263	HGNC:11906
hsa-mir-11401	HGNC:54020
HT036	HGNC:26948
SEN34L	HGNC:15506
CT86	HGNC:20300
FREAC10	HGNC:3735
MEK4	HGNC:6844
CDC42L1	HGNC:17794
DNM1DN10-1	HGNC:35187
PLCE2	HGNC:9064
TRNAR28	HGNC:34979
TRNAN12	HGNC:34657
LILRB7	HGNC:16309
GT1	HGNC:7585
FLJ34715	HGNC:32233
Beta-TG	HGNC:9240
TMEM189-UBE2V1	HGNC:33521
SMARBP1	HGNC:13450
NCRNA00061	HGNC:28254
KIAA1126	HGNC:29196
ZL43	HGNC:50409
TRS-AGA2-4	HGNC:16293
BGP	HGNC:1814
MIRN339	HGNC:31776
TCF6L2	HGNC:11741
RPLY10	HGNC:10306
RNU13P2	HGNC:10111
WIT-2	HGNC:12796
MPIF2	HGNC:10623
OR2AE2	HGNC:15087
NCRNA00204	HGNC:30612
PARG1	HGNC:30207
BTF3a	HGNC:1125
IMD5	HGNC:10820
MGC24556	HGNC:10850
EST45597	HGNC:47
LRP1A	HGNC:6692
RN5S487	HGNC:43387
TMCC4	HGNC:18188
hIL-17R	HGNC:5985
KIAA1388	HGNC:13644
ADAR2d	HGNC:226
HTF6	HGNC:13109
FAM58BP	HGNC:27373
ZFD25	HGNC:12887
HCA4	HGNC:7677
SLRR1B	HGNC:2705
MIRN548A2	HGNC:32797
REP-1	HGNC:1940
PAGE-3	HGNC:4110
HIPI3	HGNC:10061
ZFYVE23	HGNC:19117
PTPRL2	HGNC:9664
ZFAND5B	HGNC:30164
FLJ13490	HGNC:25822
SPG46	HGNC:18986
SNAP	HGNC:11132
C20orf97	HGNC:16228
SKA2L	HGNC:23122
FAM22G	HGNC:23449
MGC9907	HGNC:20489
SEPT7	HGNC:1717
PPP2R3L	HGNC:13417
C21orf48	HGNC:1301
DNAM1	HGNC:16961
Dicer	HGNC:17098
C6orf16	HGNC:17202
RPL9P1	HGNC:30335
CX23	HGNC:33251
USP6P2	HGNC:32409
RPC2	HGNC:30348
C9orf4	HGNC:1362
OR9-F	HGNC:8331
TAS2R12	HGNC:19103
MOLT	HGNC:29411
FLJ12082	HGNC:20659
FLJ25564	HGNC:26013
EGFL9	HGNC:21113
HCP40	HGNC:24414
PA2G4P	HGNC:8551
MGC4730	HGNC:30536
HsT283	HGNC:21455
FIGLER7	HGNC:16914
CANP	HGNC:24200
MHP2	HGNC:800
hsa-mir-368	HGNC:31782
Trh4	HGNC:23749
PEO1	HGNC:1160
CXorf44	HGNC:25085
LPAAT-beta	HGNC:325
CAGL114	HGNC:7133
MCP-3	HGNC:10634
S5mt	HGNC:14498
TReP-132	HGNC:18273
RAMMET	HGNC:31022
KIAA1940	HGNC:29409
MONAP	HGNC:6025
RPS2L1	HGNC:15838
hsa-mir-11399	HGNC:54019
ZNF723P	HGNC:32286
VATX	HGNC:13724
H-CAM	HGNC:1681
C16orf22	HGNC:14150
JAM-2	HGNC:14686
TRNAI28P	HGNC:35034
CDC2L	HGNC:1733
FLJ31044	HGNC:17879
P450L1	HGNC:2649
DKFZp566D234	HGNC:21386
D4S234E	HGNC:18790
EBS2	HGNC:6442
Ells1	HGNC:25457
FLJ20522	HGNC:26046
C-P4Halpha(I)	HGNC:8546
FLJ10587	HGNC:25551
hMIS18beta	HGNC:20300
hsa-mir-504	HGNC:32139
HSPC064	HGNC:24535
SARA1P	HGNC:20770
AC016747.2	HGNC:56377
ZLUT1	HGNC:18055
D13S327	HGNC:10985
FLJ14825	HGNC:25924
C6orf46	HGNC:19066
LIPL2	HGNC:23444
ELOA3AP	HGNC:24617
coronin-3	HGNC:2254
GC1	HGNC:11180
C1orf78	HGNC:25558
Ge	HGNC:4704
FLJ32830	HGNC:26548
Lst8	HGNC:24825
